 

stn    time           rre150d0
LSN    19000923            0.0
LSN    19000924            1.3
LSN    19000925            5.8
LSN    19000926            0.0
LSN    19000927            1.7
LSN    19000928           37.4
LSN    19000929            0.2
LSN    19000930            0.0
LSN    19001001            0.0
LSN    19001002            3.6
LSN    19001003           13.3
LSN    19001004            0.2
LSN    19001005            4.6
LSN    19001006            0.0
LSN    19001007            0.0
LSN    19001008            0.0
LSN    19001009            0.0
LSN    19001010            2.5
LSN    19001011            0.0
LSN    19001012            0.0
LSN    19001013            0.3
LSN    19001014            1.0
LSN    19001015            0.0
LSN    19001016            0.0
LSN    19001017            5.0
LSN    19001018            0.0
LSN    19001019            0.0
LSN    19001020            0.6
LSN    19001021            0.1
LSN    19001022            0.0
LSN    19001023            0.0
LSN    19001024            0.0
LSN    19001025            0.0
LSN    19001026            4.4
LSN    19001027            0.0
LSN    19001028            0.3
LSN    19001029           13.0
LSN    19001030            0.0
LSN    19001031            0.0
LSN    19001101           11.6
LSN    19001102            0.0
LSN    19001103            0.0
LSN    19001104            0.4
LSN    19001105            0.0
LSN    19001106            3.5
LSN    19001107           17.5
LSN    19001108            0.0
LSN    19001109            0.0
LSN    19001110           10.3
LSN    19001111            0.0
LSN    19001112            0.0
LSN    19001113            0.0
LSN    19001114            2.0
LSN    19001115            0.2
LSN    19001116            9.3
LSN    19001117           15.2
LSN    19001118            3.3
LSN    19001119            0.0
LSN    19001120            0.0
LSN    19001121            0.0
LSN    19001122            0.2
LSN    19001123            6.2
LSN    19001124            0.1
LSN    19001125           15.6
LSN    19001126            2.0
LSN    19001127            0.0
LSN    19001128            0.0
LSN    19001129            0.0
LSN    19001130            0.0
LSN    19001201            0.0
LSN    19001202            0.0
LSN    19001203            0.0
LSN    19001204           26.4
LSN    19001205            7.7
LSN    19001206            6.1
LSN    19001207            3.0
LSN    19001208            0.0
LSN    19001209            0.0
LSN    19001210            0.0
LSN    19001211            0.0
LSN    19001212            0.0
LSN    19001213            0.0
LSN    19001214            0.0
LSN    19001215            0.0
LSN    19001216            0.0
LSN    19001217            0.0
LSN    19001218            0.0
LSN    19001219            0.0
LSN    19001220            0.0
LSN    19001221            0.9
LSN    19001222            1.4
LSN    19001223            2.2
LSN    19001224            0.0
LSN    19001225            0.0
LSN    19001226            0.0
LSN    19001227            2.1
LSN    19001228            7.1
LSN    19001229            1.1
LSN    19001230            3.2
LSN    19001231            7.6
LSN    19010101            0.0
LSN    19010102            0.1
LSN    19010103            0.0
LSN    19010104            0.0
LSN    19010105            0.0
LSN    19010106            0.0
LSN    19010107            0.0
LSN    19010108            0.0
LSN    19010109            0.0
LSN    19010110            0.0
LSN    19010111            0.0
LSN    19010112            0.0
LSN    19010113            0.0
